date,store_id,product_code,product_name,main_category,sub_category,unit,stock_level,sales_quantity,expiration_days_left,ordered_quantity
2022-09,S001,P001,타이레놀정 500mg,일반의약품,해열진통제,box,13,13,228,13
2022-09,S003,P005,훼스탈플러스정,일반의약품,소화제,box,25,29,209,28
2022-09,S003,P004,콜대원코프시럽,일반의약품,감기약,bottle,11,8,206,8
2022-09,S003,P003,판콜에이스캡슐,일반의약품,감기약,box,21,16,238,16
2022-09,S003,P002,펜잘큐정,일반의약품,해열진통제,box,23,28,194,26
2022-09,S003,P001,타이레놀정 500mg,일반의약품,해열진통제,box,22,22,240,24
2022-09,S002,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,21,25,172,25
2022-09,S002,P027,지르텍정(세티리진),일반의약품,알레르기약,box,27,28,197,29
2022-09,S002,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,24,26,258,23
2022-09,S003,P008,디오코정(로사르탄),전문의약품,고혈압_치료제,box,8,6,362,6
2022-09,S002,P024,손소독제겔,의약외품,손소독제,bottle,21,18,226,19
2022-09,S002,P022,리스테린오랄린스,의약외품,구강청결제,bottle,22,20,317,19
2022-09,S002,P021,센소다인치약,의약외품,구강청결제,bottle,26,20,286,20
2022-09,S002,P020,후시딘연고,일반의약품,외용제,tube,13,15,269,14
2022-09,S002,P019,케토톱패취,일반의약품,외용제,pack,34,26,209,27
2022-09,S002,P018,마그밀정,일반의약품,변비약,box,23,25,242,23
2022-09,S002,P017,카베진코와알파정,일반의약품,소화제,box,42,32,313,31
2022-09,S003,P006,베아제정,일반의약품,소화제,box,12,14,301,13
2022-09,S002,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,19,15,336,15
2022-09,S003,P009,아마릴정(글리메피리드),전문의약품,당뇨병_치료제,box,8,6,369,6
2022-09,S002,P023,일회용마스크 KF94,의약외품,마스크,box,15,15,209,14
2022-09,S003,P011,세파클러캡슐,전문의약품,항생제,box,9,11,349,12
2022-09,S003,P021,센소다인치약,의약외품,구강청결제,bottle,9,11,340,12
2022-09,S003,P027,지르텍정(세티리진),일반의약품,알레르기약,box,14,12,162,12
2022-09,S003,P026,전자체온계,의약외품,체온계,box,12,11,286,12
2022-09,S003,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,19,14,209,13
2022-09,S003,P024,손소독제겔,의약외품,손소독제,bottle,22,17,234,17
2022-09,S003,P023,일회용마스크 KF94,의약외품,마스크,box,16,15,282,15
2022-09,S003,P022,리스테린오랄린스,의약외품,구강청결제,bottle,9,9,204,9
2022-09,S003,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,9,7,240,7
2022-09,S003,P019,케토톱패취,일반의약품,외용제,pack,38,28,214,29
2022-09,S003,P017,카베진코와알파정,일반의약품,소화제,box,25,19,199,18
2022-09,S003,P020,후시딘연고,일반의약품,외용제,tube,33,29,260,27
2022-09,S003,P018,마그밀정,일반의약품,변비약,box,16,19,273,20
2022-09,S003,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,40,29,298,28
2022-09,S003,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,18,13,371,14
2022-09,S003,P014,덱시부프로펜정,전문의약품,진통소염제,box,9,10,355,10
2022-09,S003,P013,옥시코돈서방정,전문의약품,진통소염제,box,25,18,353,19
2022-09,S003,P012,클라리스로마이신정,전문의약품,항생제,box,13,10,352,11
2022-09,S003,P010,리포바이오틴정,전문의약품,기타_전문의약품,box,6,5,410,5
2022-09,S002,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,21,21,206,22
2022-09,S001,P009,아마릴정(글리메피리드),전문의약품,당뇨병_치료제,box,8,10,385,10
2022-09,S002,P026,전자체온계,의약외품,체온계,box,7,6,274,7
2022-09,S002,P003,판콜에이스캡슐,일반의약품,감기약,box,33,26,255,24
2022-09,S002,P014,덱시부프로펜정,전문의약품,진통소염제,box,9,11,337,10
2022-09,S001,P019,케토톱패취,일반의약품,외용제,pack,43,36,272,34
2022-09,S001,P018,마그밀정,일반의약품,변비약,box,15,18,251,18
2022-09,S001,P017,카베진코와알파정,일반의약품,소화제,box,15,17,224,18
2022-09,S001,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,7,7,252,7
2022-09,S001,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,18,14,371,14
2022-09,S001,P014,덱시부프로펜정,전문의약품,진통소염제,box,7,6,375,6
2022-09,S001,P011,세파클러캡슐,전문의약품,항생제,box,14,16,333,17
2022-09,S001,P021,센소다인치약,의약외품,구강청결제,bottle,15,14,203,15
2022-09,S001,P020,후시딘연고,일반의약품,외용제,tube,14,11,237,10
2022-09,S001,P008,디오코정(로사르탄),전문의약품,고혈압_치료제,box,12,11,366,11
2022-09,S001,P007,스멕타현탁액,일반의약품,지사제,sachet,14,14,179,15
2022-09,S001,P006,베아제정,일반의약품,소화제,box,39,33,318,31
2022-09,S001,P005,훼스탈플러스정,일반의약품,소화제,box,22,16,289,15
2022-09,S001,P004,콜대원코프시럽,일반의약품,감기약,bottle,16,17,251,18
2022-09,S001,P003,판콜에이스캡슐,일반의약품,감기약,box,12,14,204,13
2022-09,S001,P002,펜잘큐정,일반의약품,해열진통제,box,26,20,184,22
2022-09,S003,P007,스멕타현탁액,일반의약품,지사제,sachet,28,21,240,22
2022-09,S001,P010,리포바이오틴정,전문의약품,기타_전문의약품,box,12,14,398,14
2022-09,S001,P012,클라리스로마이신정,전문의약품,항생제,box,10,12,422,13
2022-09,S001,P013,옥시코돈서방정,전문의약품,진통소염제,box,12,15,376,14
2022-09,S001,P022,리스테린오랄린스,의약외품,구강청결제,bottle,7,5,203,5
2022-09,S002,P012,클라리스로마이신정,전문의약품,항생제,box,25,21,388,21
2022-09,S002,P011,세파클러캡슐,전문의약품,항생제,box,10,10,334,10
2022-09,S002,P010,리포바이오틴정,전문의약품,기타_전문의약품,box,16,18,351,16
2022-09,S002,P009,아마릴정(글리메피리드),전문의약품,당뇨병_치료제,box,19,19,332,19
2022-09,S002,P008,디오코정(로사르탄),전문의약품,고혈압_치료제,box,18,17,379,17
2022-09,S002,P007,스멕타현탁액,일반의약품,지사제,sachet,10,11,226,11
2022-09,S002,P004,콜대원코프시럽,일반의약품,감기약,bottle,26,29,209,30
2022-09,S002,P006,베아제정,일반의약품,소화제,box,10,8,207,8
2022-09,S002,P013,옥시코돈서방정,전문의약품,진통소염제,box,9,11,391,12
2022-09,S002,P005,훼스탈플러스정,일반의약품,소화제,box,11,10,203,10
2022-09,S002,P002,펜잘큐정,일반의약품,해열진통제,box,16,17,223,16
2022-09,S002,P001,타이레놀정 500mg,일반의약품,해열진통제,box,38,29,179,28
2022-09,S001,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,16,12,291,13
2022-09,S001,P027,지르텍정(세티리진),일반의약품,알레르기약,box,10,12,201,12
2022-09,S001,P026,전자체온계,의약외품,체온계,box,6,7,232,7
2022-09,S001,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,9,10,259,9
2022-09,S001,P024,손소독제겔,의약외품,손소독제,bottle,8,6,238,5
2022-09,S001,P023,일회용마스크 KF94,의약외품,마스크,box,15,18,225,18
2022-10,S003,P005,훼스탈플러스정,일반의약품,소화제,box,33,30,240,31
2022-10,S003,P004,콜대원코프시럽,일반의약품,감기약,bottle,10,9,161,9
2022-10,S003,P006,베아제정,일반의약품,소화제,box,12,14,229,15
2022-10,S002,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,13,15,376,15
2022-10,S003,P001,타이레놀정 500mg,일반의약품,해열진통제,box,30,22,234,22
2022-10,S002,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,36,26,282,25
2022-10,S002,P027,지르텍정(세티리진),일반의약품,알레르기약,box,34,29,284,31
2022-10,S003,P002,펜잘큐정,일반의약품,해열진통제,box,32,27,259,26
2022-10,S002,P026,전자체온계,의약외품,체온계,box,8,8,259,8
2022-10,S003,P007,스멕타현탁액,일반의약품,지사제,sachet,24,21,243,19
2022-10,S002,P017,카베진코와알파정,일반의약품,소화제,box,36,34,215,34
2022-10,S002,P023,일회용마스크 KF94,의약외품,마스크,box,10,12,293,11
2022-10,S002,P022,리스테린오랄린스,의약외품,구강청결제,bottle,21,17,139,18
2022-10,S002,P021,센소다인치약,의약외품,구강청결제,bottle,29,23,219,22
2022-10,S002,P020,후시딘연고,일반의약품,외용제,tube,16,13,170,14
2022-10,S002,P019,케토톱패취,일반의약품,외용제,pack,26,20,144,19
2022-10,S002,P018,마그밀정,일반의약품,변비약,box,31,23,282,23
2022-10,S003,P003,판콜에이스캡슐,일반의약품,감기약,box,27,20,176,19
2022-10,S002,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,23,26,209,29
2022-10,S003,P008,디오코정(로사르탄),전문의약품,고혈압_치료제,box,6,7,406,6
2022-10,S003,P021,센소다인치약,의약외품,구강청결제,bottle,12,10,225,10
2022-10,S003,P010,리포바이오틴정,전문의약품,기타_전문의약품,box,5,5,424,5
2022-10,S003,P019,케토톱패취,일반의약품,외용제,pack,20,22,282,23
2022-10,S002,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,25,23,214,24
2022-10,S003,P027,지르텍정(세티리진),일반의약품,알레르기약,box,12,12,237,11
2022-10,S003,P026,전자체온계,의약외품,체온계,box,8,10,280,10
2022-10,S003,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,12,9,144,9
2022-10,S003,P024,손소독제겔,의약외품,손소독제,bottle,25,20,183,21
2022-10,S003,P023,일회용마스크 KF94,의약외품,마스크,box,19,19,210,20
2022-10,S003,P022,리스테린오랄린스,의약외품,구강청결제,bottle,11,10,196,11
2022-10,S002,P024,손소독제겔,의약외품,손소독제,bottle,29,21,252,19
2022-10,S003,P011,세파클러캡슐,전문의약품,항생제,box,12,13,393,12
2022-10,S003,P020,후시딘연고,일반의약품,외용제,tube,21,25,267,27
2022-10,S003,P018,마그밀정,일반의약품,변비약,box,20,20,282,22
2022-10,S003,P017,카베진코와알파정,일반의약품,소화제,box,17,15,200,15
2022-10,S003,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,29,27,230,26
2022-10,S003,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,10,12,396,12
2022-10,S003,P014,덱시부프로펜정,전문의약품,진통소염제,box,18,13,347,12
2022-10,S003,P013,옥시코돈서방정,전문의약품,진통소염제,box,19,19,348,18
2022-10,S003,P012,클라리스로마이신정,전문의약품,항생제,box,14,14,356,14
2022-10,S003,P009,아마릴정(글리메피리드),전문의약품,당뇨병_치료제,box,6,6,384,6
2022-10,S003,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,9,7,233,8
2022-10,S002,P002,펜잘큐정,일반의약품,해열진통제,box,23,19,223,19
2022-10,S002,P003,판콜에이스캡슐,일반의약품,감기약,box,51,42,237,42
2022-10,S001,P008,디오코정(로사르탄),전문의약품,고혈압_치료제,box,11,9,365,10
2022-10,S001,P017,카베진코와알파정,일반의약품,소화제,box,17,19,218,20
2022-10,S001,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,11,8,264,9
2022-10,S001,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,16,14,353,13
2022-10,S001,P014,덱시부프로펜정,전문의약품,진통소염제,box,8,8,335,7
2022-10,S001,P013,옥시코돈서방정,전문의약품,진통소염제,box,14,12,361,11
2022-10,S001,P012,클라리스로마이신정,전문의약품,항생제,box,12,13,400,12
2022-10,S001,P018,마그밀정,일반의약품,변비약,box,20,21,303,22
2022-10,S001,P019,케토톱패취,일반의약품,외용제,pack,25,24,243,24
2022-10,S001,P009,아마릴정(글리메피리드),전문의약품,당뇨병_치료제,box,9,8,400,9
2022-10,S001,P007,스멕타현탁액,일반의약품,지사제,sachet,12,11,250,11
2022-10,S001,P001,타이레놀정 500mg,일반의약품,해열진통제,box,15,14,254,15
2022-10,S001,P002,펜잘큐정,일반의약품,해열진통제,box,17,16,237,18
2022-10,S002,P014,덱시부프로펜정,전문의약품,진통소염제,box,16,12,352,13
2022-10,S001,P004,콜대원코프시럽,일반의약품,감기약,bottle,21,19,228,18
2022-10,S001,P005,훼스탈플러스정,일반의약품,소화제,box,13,14,231,13
2022-10,S001,P006,베아제정,일반의약품,소화제,box,29,27,235,27
2022-10,S001,P021,센소다인치약,의약외품,구강청결제,bottle,20,17,270,18
2022-10,S001,P003,판콜에이스캡슐,일반의약품,감기약,box,18,18,247,18
2022-10,S001,P020,후시딘연고,일반의약품,외용제,tube,10,9,250,9
2022-10,S001,P010,리포바이오틴정,전문의약품,기타_전문의약품,box,17,13,351,13
2022-10,S001,P022,리스테린오랄린스,의약외품,구강청결제,bottle,5,5,180,5
2022-10,S002,P010,리포바이오틴정,전문의약품,기타_전문의약품,box,23,17,379,18
2022-10,S002,P009,아마릴정(글리메피리드),전문의약품,당뇨병_치료제,box,16,18,355,16
2022-10,S002,P008,디오코정(로사르탄),전문의약품,고혈압_치료제,box,23,18,342,19
2022-10,S002,P007,스멕타현탁액,일반의약품,지사제,sachet,7,8,233,8
2022-10,S002,P006,베아제정,일반의약품,소화제,box,10,9,247,10
2022-10,S002,P005,훼스탈플러스정,일반의약품,소화제,box,11,11,300,12
2022-10,S002,P004,콜대원코프시럽,일반의약품,감기약,bottle,46,39,239,42
2022-10,S002,P012,클라리스로마이신정,전문의약품,항생제,box,29,22,400,21
2022-10,S001,P011,세파클러캡슐,전문의약품,항생제,box,19,17,391,18
2022-10,S002,P011,세파클러캡슐,전문의약품,항생제,box,13,11,431,11
2022-10,S001,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,16,13,252,13
2022-10,S001,P027,지르텍정(세티리진),일반의약품,알레르기약,box,13,10,254,9
2022-10,S001,P026,전자체온계,의약외품,체온계,box,7,7,312,6
2022-10,S001,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,8,7,296,7
2022-10,S001,P024,손소독제겔,의약외품,손소독제,bottle,7,7,267,8
2022-10,S001,P023,일회용마스크 KF94,의약외품,마스크,box,16,16,301,15
2022-10,S002,P013,옥시코돈서방정,전문의약품,진통소염제,box,10,12,331,12
2022-10,S002,P001,타이레놀정 500mg,일반의약품,해열진통제,box,48,35,190,36
2022-11,S003,P008,디오코정(로사르탄),전문의약품,고혈압_치료제,box,9,9,363,9
2022-11,S003,P005,훼스탈플러스정,일반의약품,소화제,box,25,24,179,24
2022-11,S003,P004,콜대원코프시럽,일반의약품,감기약,bottle,17,13,228,13
2022-11,S002,P026,전자체온계,의약외품,체온계,box,9,7,187,7
2022-11,S003,P002,펜잘큐정,일반의약품,해열진통제,box,37,30,225,32
2022-11,S003,P001,타이레놀정 500mg,일반의약품,해열진통제,box,20,21,323,20
2022-11,S002,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,20,19,239,20
2022-11,S003,P006,베아제정,일반의약품,소화제,box,21,15,263,14
2022-11,S003,P003,판콜에이스캡슐,일반의약품,감기약,box,33,27,295,25
2022-11,S002,P023,일회용마스크 KF94,의약외품,마스크,box,20,18,252,19
2022-11,S002,P022,리스테린오랄린스,의약외품,구강청결제,bottle,22,20,235,20
2022-11,S002,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,20,22,224,22
2022-11,S002,P024,손소독제겔,의약외품,손소독제,bottle,29,22,245,22
2022-11,S002,P021,센소다인치약,의약외품,구강청결제,bottle,22,22,265,22
2022-11,S002,P020,후시딘연고,일반의약품,외용제,tube,13,11,280,11
2022-11,S002,P019,케토톱패취,일반의약품,외용제,pack,19,21,257,21
2022-11,S002,P018,마그밀정,일반의약품,변비약,box,27,22,292,24
2022-11,S002,P017,카베진코와알파정,일반의약품,소화제,box,38,29,164,27
2022-11,S002,P027,지르텍정(세티리진),일반의약품,알레르기약,box,25,26,216,29
2022-11,S003,P007,스멕타현탁액,일반의약품,지사제,sachet,24,20,223,19
2022-11,S003,P009,아마릴정(글리메피리드),전문의약품,당뇨병_치료제,box,5,5,363,5
2022-11,S003,P011,세파클러캡슐,전문의약품,항생제,box,14,15,364,16
2022-11,S003,P019,케토톱패취,일반의약품,외용제,pack,22,19,234,17
2022-11,S002,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,38,30,272,32
2022-11,S003,P027,지르텍정(세티리진),일반의약품,알레르기약,box,14,11,176,10
2022-11,S003,P026,전자체온계,의약외품,체온계,box,14,12,161,12
2022-11,S003,P025,밴드에이드혼합형,의약외품,밴드_반창고,box,16,12,246,11
2022-11,S003,P024,손소독제겔,의약외품,손소독제,bottle,24,17,239,18
2022-11,S003,P023,일회용마스크 KF94,의약외품,마스크,box,18,20,205,20
2022-11,S003,P022,리스테린오랄린스,의약외품,구강청결제,bottle,10,10,243,10
2022-11,S003,P010,리포바이오틴정,전문의약품,기타_전문의약품,box,7,5,432,5
2022-11,S003,P021,센소다인치약,의약외품,구강청결제,bottle,14,13,306,14
2022-11,S003,P020,후시딘연고,일반의약품,외용제,tube,19,17,209,16
2022-11,S003,P018,마그밀정,일반의약품,변비약,box,18,17,253,18
2022-11,S003,P017,카베진코와알파정,일반의약품,소화제,box,17,15,203,14
2022-11,S003,P016,아세트아미노펜시럽,일반의약품,해열진통제,bottle,48,35,221,33
2022-11,S003,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,17,13,357,14
2022-11,S003,P014,덱시부프로펜정,전문의약품,진통소염제,box,18,14,361,15
2022-11,S003,P013,옥시코돈서방정,전문의약품,진통소염제,box,23,17,353,16
2022-11,S003,P012,클라리스로마이신정,전문의약품,항생제,box,19,14,391,13
2022-11,S002,P015,란소프라졸캡슐,전문의약품,소화성궤양제,box,17,16,380,16
2022-11,S003,P028,알레그라정(펙소페나딘),일반의약품,알레르기약,box,6,7,194,7
2022-11,S002,P003,판콜에이스캡슐,일반의약품,감기약,box,34,38,152,40
2022-11,S002,P014,덱시부프로펜정,전문의약품,진통소염제,box,11,10,338,10
2022-11,S001,P018,마그밀정,일반의약품,변비약,box,19,21,207,20
2022-11,S001,P017,카베진코와알파정,일반의약품,소화제,box,17,15,252,16
