date,store_id,product_code,product_name,main_category,sub_category,unit,stock_level,sales_quantity,expiration_days_left,ordered_quantity
2025-08,PHARM02,HT009,키즈부루펜시럽,일반의약품,해열진통제,bottle,27,16,314,27
2025-08,PHARM02,AN004,게보린정,일반의약품,해열진통제,box,18,10,96,13
2025-08,PHARM02,MK002,KF80 마스크 소형,의약외품,마스크,pack,65,31,57,39
2025-08,PHARM02,OC001,가그린 오리지널,의약외품,구강청결제,bottle,74,39,95,56
2025-08,PHARM02,MK010,블랙 마스크 중형,의약외품,마스크,pack,129,43,111,64
2025-08,PHARM02,TH010,스마트체온계,의약외품,체온계,unit,151,62,49,90
2025-08,PHARM02,AC003,독소루비신주,전문의약품,항암제,vial,126,75,280,124
2025-08,PHARM02,PA006,브루펜플러스정,일반의약품,진통소염제,box,127,47,149,73
2025-08,PHARM02,AN002,펜잘큐정,일반의약품,해열진통제,box,36,12,297,15
2025-08,PHARM02,SA001,락스플러스 스프레이,의약외품,방역용품,bottle,122,48,196,69
2025-08,PHARM02,NP008,클로자핀정,전문의약품,정신신경용제,box,53,31,267,54
2025-08,PHARM02,OG003,칼디정,일반의약품,기타_일반의약품,box,147,55,205,86
2025-08,PHARM02,MK003,비말차단 마스크,의약외품,마스크,pack,100,48,108,73
2025-08,PHARM02,HB010,투탑스정,전문의약품,고혈압_치료제,box,190,74,316,101
2025-08,PHARM02,DG005,겔포스엠액,일반의약품,소화제,bottle,64,23,247,27
2025-08,PHARM02,BD001,박카스밴드,의약외품,밴드_반창고,box,60,25,352,39
2025-08,PHARM02,HT002,펜잘큐정,일반의약품,해열진통제,box,193,67,364,84
2025-08,PHARM02,HS001,유한 손소독제 젤,의약외품,손소독제,gel,62,32,164,54
2025-08,PHARM02,PA010,스포트겔 스프레이,일반의약품,진통소염제,spray,137,57,234,91
2025-08,PHARM02,HT005,탁센정,일반의약품,해열진통제,box,88,43,80,75
2025-08,PHARM02,HS008,라지 핸드스프레이,의약외품,손소독제,spray,111,58,315,86
2025-08,PHARM02,OE002,스킨프로텍터,의약외품,기타_의약외품,tube,87,31,180,52
2025-08,PHARM02,TH002,이어체온계,의약외품,체온계,unit,43,23,364,38
2025-08,PHARM02,DS003,키즈지사시럽,일반의약품,지사제,bottle,122,56,333,74
2025-08,PHARM02,HT004,게보린정,일반의약품,해열진통제,box,26,11,364,15
2025-08,PHARM02,NP003,퀘티아핀정,전문의약품,정신신경용제,box,137,68,317,117
2025-08,PHARM02,AB003,에리트로마이신정,전문의약품,항생제,box,205,98,129,144
2025-08,PHARM02,AC005,게피티닙정,전문의약품,항암제,box,112,43,268,74
2025-08,PHARM02,SA006,소독거즈백,의약외품,방역용품,pack,130,47,152,73
2025-08,PHARM02,EX007,클로트리마졸크림,일반의약품,외용제,tube,43,24,99,33
2025-08,PHARM02,CG005,벤포라민시럽,일반의약품,감기약,bottle,123,70,156,86
2025-08,PHARM02,AC008,파클리탁셀주,전문의약품,항암제,vial,96,33,239,47
2025-08,PHARM02,AB004,레보플록사신정,전문의약품,항생제,box,48,28,93,43
2025-08,PHARM02,OC002,클리오덴트,의약외품,구강청결제,bottle,63,30,220,36
2025-08,PHARM02,EX001,포비돈요오드액,일반의약품,외용제,bottle,206,92,359,120
2025-08,PHARM02,OP003,졸피뎀정,전문의약품,기타_전문의약품,box,110,41,151,53
