date,store_id,product_code,product_name,main_category,sub_category,unit,stock_level,sales_quantity,expiration_days_left,ordered_quantity
2023-08,PHARM01,DS005,카올린정,일반의약품,지사제,box,70,24,331,35
2023-08,PHARM01,NP001,에스시탈로프람정,전문의약품,정신신경용제,box,109,38,77,58
2023-08,PHARM01,DG010,트리몰정,일반의약품,소화제,box,118,46,311,63
2023-08,PHARM01,AN010,케토날캡슐,일반의약품,해열진통제,box,109,59,200,91
2023-08,PHARM01,MM005,롱액션멀미정,일반의약품,멀미약,box,120,55,286,85
2023-08,PHARM01,DM001,글리메피리드정,전문의약품,당뇨병_치료제,box,98,44,342,76
2023-08,PHARM02,OP003,졸피뎀정,전문의약품,기타_전문의약품,box,96,37,334,66
2023-08,PHARM02,CG005,벤포라민시럽,일반의약품,감기약,bottle,139,60,121,86
2023-08,PHARM02,HT009,키즈부루펜시럽,일반의약품,해열진통제,bottle,52,21,225,32
2023-08,PHARM02,AN004,게보린정,일반의약품,해열진통제,box,43,17,53,25
2023-08,PHARM02,MK002,KF80 마스크 소형,의약외품,마스크,pack,67,30,296,47
2023-08,PHARM01,OC006,후라보노 구강청결제,의약외품,구강청결제,bottle,86,50,307,64
2023-08,PHARM02,OC001,가그린 오리지널,의약외품,구강청결제,bottle,108,49,239,64
2023-08,PHARM02,MK010,블랙 마스크 중형,의약외품,마스크,pack,67,36,93,58
2023-08,PHARM02,TH010,스마트체온계,의약외품,체온계,unit,126,51,347,88
2023-08,PHARM01,SA008,메디가운,의약외품,방역용품,unit,34,23,119,34
2023-08,PHARM02,AC003,독소루비신주,전문의약품,항암제,vial,182,62,181,96
2023-08,PHARM02,PA006,브루펜플러스정,일반의약품,진통소염제,box,67,31,61,38
2023-08,PHARM02,EX007,클로트리마졸크림,일반의약품,외용제,tube,53,27,289,45
2023-08,PHARM02,AN002,펜잘큐정,일반의약품,해열진통제,box,33,11,349,13
2023-08,PHARM01,HS006,메디컬 세니겔,의약외품,손소독제,gel,168,56,136,94
2023-08,PHARM02,SA001,락스플러스 스프레이,의약외품,방역용품,bottle,86,56,60,75
2023-08,PHARM02,NP008,클로자핀정,전문의약품,정신신경용제,box,59,33,356,45
2023-08,PHARM02,OG003,칼디정,일반의약품,기타_일반의약품,box,204,75,203,101
2023-08,PHARM02,MK003,비말차단 마스크,의약외품,마스크,pack,137,73,85,100
2023-08,PHARM01,DS009,스톱디정,일반의약품,지사제,box,111,70,313,102
2023-08,PHARM02,HB010,투탑스정,전문의약품,고혈압_치료제,box,143,73,132,126
2023-08,PHARM02,DG005,겔포스엠액,일반의약품,소화제,bottle,37,21,159,34
2023-08,PHARM02,SA006,소독거즈백,의약외품,방역용품,pack,146,51,294,77
2023-08,PHARM02,BD001,박카스밴드,의약외품,밴드_반창고,box,90,39,288,51
2023-08,PHARM01,DM009,시타-메트정,전문의약품,당뇨병_치료제,box,130,53,349,74
2023-08,PHARM01,EX010,아크네 스팟겔,일반의약품,외용제,tube,147,60,295,92
2023-08,PHARM01,MK010,블랙 마스크 중형,의약외품,마스크,pack,54,19,64,30
2023-08,PHARM01,AN002,펜잘큐정,일반의약품,해열진통제,box,162,55,103,89
2023-08,PHARM01,SA007,방진마스크,의약외품,방역용품,pack,140,52,204,77
2023-08,PHARM01,HB009,하이드랄라진정,전문의약품,고혈압_치료제,box,14,7,86,8
2023-08,PHARM01,TH007,키즈이어체온계,의약외품,체온계,unit,81,40,236,59
2023-08,PHARM01,CG010,코푸시럽,일반의약품,감기약,bottle,154,52,352,72
2023-08,PHARM02,EX001,포비돈요오드액,일반의약품,외용제,bottle,151,61,236,83
2023-08,PHARM01,MM003,모션캡슐,일반의약품,멀미약,box,25,10,65,12
2023-08,PHARM01,OE001,헬스밴드,의약외품,기타_의약외품,box,170,75,350,106
2023-08,PHARM02,OC002,클리오덴트,의약외품,구강청결제,bottle,74,28,267,41
2023-08,PHARM01,OG006,써큐란정,일반의약품,기타_일반의약품,box,80,43,316,73
2023-08,PHARM01,AB001,아목시실린캡슐,전문의약품,항생제,box,144,49,223,73
2023-08,PHARM01,DM007,아카보스정,전문의약품,당뇨병_치료제,box,31,11,340,17
2023-08,PHARM01,DG002,베아제정,일반의약품,소화제,box,68,25,110,38
2023-08,PHARM01,OP006,리스페리돈정,전문의약품,기타_전문의약품,box,141,48,206,59
2023-08,PHARM01,DG006,디제정,일반의약품,소화제,box,191,81,251,119
2023-08,PHARM01,TH004,수은온도계,의약외품,체온계,unit,84,37,179,55
2023-08,PHARM01,DM008,글리메-메트정,전문의약품,당뇨병_치료제,box,188,73,184,112
2023-08,PHARM01,DG009,엔자임파우더,일반의약품,소화제,sachet,98,65,215,83
